MOI,P(stealth),stealth_CI_low,stealth_CI_high,P(hijack),hijack_CI_low,hijack_CI_high,P(undecided),P(tie)
1,0.0,0.0,0.002554524359480413,0.6346666666666667,0.6099829193194678,0.6586623954530456,0.36533333333333334,0.0
2,0.0026666666666666666,0.0010374714675854251,0.006836762095311092,0.7846666666666666,0.7631511712770507,0.8047277861876183,0.21266666666666667,0.0
3,0.07933333333333334,0.06670625434765985,0.09410961881344969,0.7373333333333333,0.7144759993450169,0.7589781197590162,0.18333333333333332,0.0
4,0.19333333333333333,0.17414158722225598,0.21409185438489198,0.7413333333333333,0.7185756781600746,0.7628580047490828,0.06533333333333333,0.0
5,0.2866666666666667,0.2643496801755547,0.310073583551157,0.7086666666666667,0.6851621904585976,0.7311050547087126,0.004666666666666667,0.0
6,0.2906666666666667,0.2682454417422011,0.3141573857896347,0.7086666666666667,0.6851621904585976,0.7311050547087126,0.0006666666666666666,0.0
7,0.30266666666666664,0.27994553858066573,0.3263959803665425,0.6973333333333334,0.6736040196334575,0.7200544614193344,0.0,0.0
8,0.31466666666666665,0.2916643454309939,0.33861586493158685,0.6853333333333333,0.6613841350684132,0.7083356545690062,0.0,0.0
9,0.3473333333333333,0.32365582315269253,0.3717908249517355,0.6526666666666666,0.6282091750482645,0.6763441768473074,0.0,0.0
10,0.3433333333333333,0.3197316281479829,0.3677354561513209,0.6566666666666666,0.6322645438486789,0.680268371852017,0.0,0.0
